VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EA8J,San Diego,Oceanside,CA,92051,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,,153998050,,,6073018509
3FA6P0PU7H,Sedgwick,Derby,KS,67037,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,,138214331,POINT (-97.27013 37.54531),,20173009801
1N4AZ0CP8D,Snohomish,Marysville,WA,98271,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,38,3129059,POINT (-122.19388 48.15353),PUGET SOUND ENERGY INC,53061052805
WBY8P8C58K,Kitsap,Bremerton,WA,98337,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,26,166525635,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080500
5YJ3E1EA7K,Snohomish,Edmonds,WA,98026,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,32,475248315,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050800
1G1FZ6S07L,Walla Walla,Walla Walla,WA,99362,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,16,150312991,POINT (-118.34261 46.07068),PACIFICORP,53071920702
KNDCC3LG1L,Snohomish,Everett,WA,98204,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,21,152471728,POINT (-122.25527 47.90456),PUGET SOUND ENERGY INC,53061041905
1N4AZ0CP5D,Island,Oak Harbor,WA,98277,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,10,234850367,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970300
5YJ3E1EA1L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,110771972,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EB8K,Thurston,Olympia,WA,98501,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,477769939,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010700
5YJ3E1EA4J,Skagit,Anacortes,WA,98221,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,258609291,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940302
5YJ3E1EBXL,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,21,106295451,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051927
5YJ3E1EA9J,King,Kent,WA,98031,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,186185814,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029306
5YJSA1S29F,Snohomish,Bothell,WA,98021,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,1,199402794,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EAXK,Thurston,Olympia,WA,98513,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,2,329238430,POINT (-122.80277 46.99409),PUGET SOUND ENERGY INC,53067012320
KNAGV4LD3H,Kitsap,Bremerton,WA,98383,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,23,314301186,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
KNDJP3AE8H,Kitsap,Olalla,WA,98359,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,26,350084948,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
1N4AZ1CP8K,Snohomish,Woodway,WA,98020,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,32,274983740,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050600
1FADP5CU1D,Snohomish,Bothell,WA,98021,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,1,302447554,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
7SAYGDEE2N,Whitman,Pullman,WA,99163,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,193579760,POINT (-117.18147 46.73015),AVISTA CORP,53075000201
1N4AZ1CP7J,Thurston,Tumwater,WA,98501,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,35,201185253,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011720
WAUUPBFF3G,Snohomish,Bothell,WA,98012,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,1,161824953,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
KNDCC3LG7L,Thurston,Olympia,WA,98516,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,2,152584484,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,53067012330
5YJ3E1EA0L,Snohomish,Monroe,WA,98272,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,39,6094910,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052208
5YJ3E1EB2J,Snohomish,Mill Creek,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,226080305,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052006
WA1AAAGE9M,Kitsap,Port Orchard,WA,98367,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,0,35,156660507,POINT (-122.65745 47.4916),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EB7K,Thurston,Yelm,WA,98597,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,2,224725315,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
5YJ3E1EB4K,Kitsap,Poulsbo,WA,98370,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,4664166,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
1G1RC6E4XF,Yakima,Yakima,WA,98901,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,13,294955195,POINT (-120.50721 46.60448),PACIFICORP,53077001701
1N4AZ0CP4E,Island,Oak Harbor,WA,98277,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,10,124224859,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970401
5YJ3E1EB3K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,292800504,POINT (-120.56916 46.58514),PACIFICORP,53077002900
5YJYGDEE2L,Snohomish,Edmonds,WA,98026,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21,109766555,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
5YJ3E1EB5J,Thurston,Olympia,WA,98506,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,107117692,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
1G1RD6E43C,Snohomish,Monroe,WA,98272,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,39,126384212,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052208
1N4BZ0CP6H,King,Seattle,WA,98118,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,37,106876997,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011001
1G1RD6S58J,Kitsap,Bremerton,WA,98312,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,35,333120707,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035080900
JN1AZ0CP6B,Walla Walla,Walla Walla,WA,99362,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,16,208059442,POINT (-118.34261 46.07068),PACIFICORP,53071920702
1N4AZ0CP3F,Kitsap,Kingston,WA,98346,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,115797398,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
JTDKN3DP5C,Kitsap,Bremerton,WA,98312,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,35,140080146,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035080700
JTDKAMFP0M,Yakima,Yakima,WA,98902,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,144884302,POINT (-120.52301 46.60138),PACIFICORP,53077000302
1N4AZ1CP4L,Thurston,Olympia,WA,98501,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,22,124333275,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010700
KM8K23AG4L,Island,Langley,WA,98260,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,10,142045634,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029971900
1N4AZ1CP3J,Thurston,Olympia,WA,98501,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,474204888,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400
1N4BZ0CP7G,Skagit,Bow,WA,98232,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,40,250052960,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,53057950802
1N4AZ0CP9D,Snohomish,Edmonds,WA,98020,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,21,146860493,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050300
KM8K53AG1L,Kitsap,Bainbridge Island,WA,98110,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,23,186861216,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035091001
5YJYGDEEXM,Stafford,Stafford,VA,22554,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,,138122841,POINT (-77.40815 38.42366),,51179010210
5YJXCDE26L,Chelan,Chelan,WA,98816,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,12,100649090,POINT (-120.01454 47.83985),PUD NO 1 OF CHELAN COUNTY,53007960301
5YJ3E1EB8K,Thurston,Tumwater,WA,98501,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,170512401,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
3FA6P0PU0F,Yakima,Yakima,WA,98908,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14,214566089,POINT (-120.56916 46.58514),PACIFICORP,53077002801
5YJSA1E27G,Kitsap,Bremerton,WA,98312,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,35,196728640,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035091301
5YJ3E1EB8K,Snohomish,Edmonds,WA,98026,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,476555019,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050300
3FA6P0SU6G,Snohomish,Marysville,WA,98270,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,44,347907927,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052708
1N4AZ0CP7D,Snohomish,Snohomish,WA,98290,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,39,225626733,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052203
5YJSA1E27K,Yakima,Yakima,WA,98902,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,15,474882180,POINT (-120.52301 46.60138),PACIFICORP,53077000301
JA4J24A53J,Whitman,Pullman,WA,99163,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,9,260983026,POINT (-117.18147 46.73015),AVISTA CORP,53075000400
KNDCE3LG7L,Thurston,Lacey,WA,98503,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,152461970,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011300
5YJSA1E22G,Thurston,Lacey,WA,98503,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,127215700,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011422
5YJ3E1EB5L,King,Seattle,WA,98107,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,36,3271838,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004702
5YJSA1E20G,San Diego,Oceanside,CA,92058,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,,232897395,POINT (-117.37445 33.21097),,6073018601
5YJSA1DP4D,Yakima,Zillah,WA,98953,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,15,161861780,POINT (-120.26186 46.40186),PACIFICORP,53077002201
5YJ3E1EB8K,Whitman,Pullman,WA,99163,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,9,478608616,POINT (-117.18147 46.73015),AVISTA CORP,53075000300
1FADP5CU3D,Whitman,Pullman,WA,99163,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,9,201830751,POINT (-117.18147 46.73015),AVISTA CORP,53075000400
3FA6P0PU2D,Pierce,Wilkeson,WA,98396,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,31,226631765,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070206
WA1VAAGE0K,King,Seattle,WA,98136,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,34,132766119,POINT (-122.38415 47.53755),,53033010602
5YJ3E1EB8M,Denton,Little Elm,TX,75068,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,,166255393,POINT (-96.9387 33.15985),,48121020137
1G1RB6E47F,New London,Old Lyme,CT,6371,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,,277515801,POINT (-72.33425 41.32392),,9011660101
5YJ3E1EA0J,Riverside,Wildomar,CA,92595,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,,196439911,POINT (-117.26237 33.61236),,6065043271
JN1AZ0CP5C,Walla Walla,Walla Walla,WA,99362,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,16,193763377,POINT (-118.34261 46.07068),PACIFICORP,53071920702
KNDCC3LG2K,Stevens,Rice,WA,99167,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,7,153682224,POINT (-118.16165 48.42934),AVISTA CORP,53065950102
5YJ3E1EB8L,Snohomish,Lake Stevens,WA,98258,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,44,112667670,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052505
1N4BZ0CP9H,Kitsap,Seabeck,WA,98380,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,35,348373931,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035092000
1G1FW6S05H,Thurston,Olympia,WA,98504,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,168485502,,PUGET SOUND ENERGY INC,53067010100
1N4AZ0CP3D,King,Renton,WA,98056,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,11,225638941,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025202
5YJSA1S26F,Island,Langley,WA,98260,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,10,477966884,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029972000
KNDRJDLH0N,Grant,Moses Lake,WA,98837,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,13,212046866,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025011200
1N4AZ1CP4J,Thurston,Lacey,WA,98503,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,160782506,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011422
WBY1Z4C57E,Spokane,Spokane,WA,99224,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,6,349911565,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,53063013503
KNDCD3LD5J,Snohomish,Everett,WA,98208,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,44,274863137,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041610
1N4AZ0CP5F,Walla Walla,Walla Walla,WA,99362,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,16,185337113,POINT (-118.34261 46.07068),PACIFICORP,53071920701
7SAYGDEE4P,King,Seattle,WA,98115,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,224117652,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003602
5YJ3E1EA4J,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,476642323,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041814
KMHC75LD1L,Spokane,Greenacres,WA,99016,2020,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,4,136775663,POINT (-117.1748 47.65699),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013101
1C4RJYB66N,Spokane,Spokane,WA,99205,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,3,223886316,POINT (-117.45674 47.69963),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063000700
WMW13DJ06N,King,Lake Forest Park,WA,98155,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46,187117472,POINT (-122.31327 47.75736),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033020402
5YJ3E1EA6L,Snohomish,Brier,WA,98036,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,127468603,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913
3MW5P9J03N,King,Seattle,WA,98122,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,37,211867281,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
7FCTGAAA0N,Chelan,Chelan,WA,98816,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,12,212020756,POINT (-120.01454 47.83985),PUD NO 1 OF CHELAN COUNTY,53007960303
7SAYGDEE1N,King,Sammamish,WA,98074,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,223709909,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318
5YJSA1E59P,King,Medina,WA,98039,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,224313722,POINT (-122.23892 47.61613),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033024200
WP0AB2Y19N,King,Issaquah,WA,98027,2022,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5,197530672,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103
1N4AZ0CP0F,King,Seattle,WA,98118,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,113750416,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011102
W1N9M0KB6N,King,Seattle,WA,98116,2022,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34,219334265,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009600
1N4AZ0CP4D,King,Lake Forest Park,WA,98155,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,46,221274847,POINT (-122.31327 47.75736),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033020402
7SAXCBE57N,Spokane,Spokane Valley,WA,99216,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,4,195350067,POINT (-117.2335 47.67666),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063011400
1N4AZ1CVXM,Snohomish,Mountlake Terrace,WA,98043,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,172399580,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,53061051302
7SAYGDEE0N,King,Woodinville,WA,98072,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,194639588,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032320
7SAYGDEE6N,King,Seattle,WA,98109,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,196460463,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000
1N4AZ1BV2N,Thurston,Tumwater,WA,98501,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,205851138,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010801
7SAYGDEE0N,King,Mercer Island,WA,98040,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,186135309,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024602
3FMTK3SU0M,Pierce,Gig Harbor,WA,98335,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26,193719312,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072408
JTDKARFP0H,Clark,Vancouver,WA,98660,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,49,113731530,POINT (-122.67156 45.63248),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042300
5YJ3E1EA0J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,247130908,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
KNDC3DLC4N,King,Seattle,WA,98109,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,209604440,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006701
2C4RC1N76L,King,Seattle,WA,98199,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,36,124074044,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803
JN1AZ0CP9B,King,Issaquah,WA,98027,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,5,229081240,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103
50EA1GBA1N,Snohomish,Arlington,WA,98223,2022,LUCID MOTORS,LUCID AIR,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,214791832,POINT (-122.1264 48.19471),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053509
7SAYGDEE5P,King,Seattle,WA,98105,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46,227321895,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101
